品牌,disp,mpg,cyl,hp,drat,wt
Mazda RX4,160,21,6,110,3.9,2.62
Mazda RX4 Wag,160,21,6,110,3.9,2.875
Datsun 710,108,22.8,4,93,3.85,2.32
Hornet 4 Drive,258,21.4,6,110,3.08,3.215
Hornet Sportabout,360,18.7,8,175,3.15,3.44
Valiant,225,18.1,6,105,2.76,3.46
Duster 360,360,14.3,8,245,3.21,3.57
Merc 240D,146.7,24.4,4,62,3.69,3.19
Merc 230,140.8,22.8,4,95,3.92,3.15
Merc 280,167.6,19.2,6,123,3.92,3.44
Merc 280C,167.6,17.8,6,123,3.92,3.44
Merc 450SE,275.8,16.4,8,180,3.07,4.07
Merc 450SL,275.8,17.3,8,180,3.07,3.73
Merc 450SLC,275.8,15.2,8,180,3.07,3.78
Cadillac Fleetwood,472,10.4,8,205,2.93,5.25
Lincoln Continental,460,10.4,8,215,3,5.424
Chrysler Imperial,440,14.7,8,230,3.23,5.345
Fiat 128,78.7,32.4,4,66,4.08,2.2
Honda Civic,75.7,30.4,4,52,4.93,1.615
Toyota Corolla,71.1,33.9,4,65,4.22,1.835
Toyota Corona,120.1,21.5,4,97,3.7,2.465
Dodge Challenger,318,15.5,8,150,2.76,3.52
AMC Javelin,304,15.2,8,150,3.15,3.435
Camaro Z28,350,13.3,8,245,3.73,3.84
Pontiac Firebird,400,19.2,8,175,3.08,3.845
Fiat X1-9,79,27.3,4,66,4.08,1.935
Porsche 914-2,120.3,26,4,91,4.43,2.14
Lotus Europa,95.1,30.4,4,113,3.77,1.513
Ford Pantera L,351,15.8,8,264,4.22,3.17
Ferrari Dino,145,19.7,6,175,3.62,2.77
Maserati Bora,301,15,8,335,3.54,3.57
Volvo 142E,121,21.4,4,109,4.11,2.78
