地区,地区生产总值,地方财政税收收入,社会消费品零售总额,年末总人口
北京,41045.6,5164.64,14867.7,2189
天津,15685.1,1621.89,3769.8,1373
河北,40397.1,2735.73,13509.9,7448
山西,22870.4,2094.72,7747.3,3480
内蒙古,21166.0,1671.05,5060.3,2400
辽宁,27569.5,1970.87,9783.9,4229
吉林,13163.8,809.41,4216.6,2375
黑龙江,14858.2,870.18,5542.9,3125
上海,43653.2,6606.74,18079.3,2489
江苏,117392.4,8171.30,42702.6,8505
浙江,74040.8,7171.97,29210.5,6540
安徽,42565.2,2389.90,21471.2,6113
福建,49566.1,2493.14,20373.1,4187
江西,29827.8,1929.33,12206.7,4517
山东,82875.2,5475.99,33714.5,10170
河南,58071.4,2842.56,24381.7,9883
湖北,50091.2,2559.68,21561.4,5830
湖南,45713.5,2245.99,18596.9,6622
广东,124719.5,10785.23,44187.7,12684
广西,25209.1,1191.09,8538.5,5037
海南,6504.1,742.93,2497.6,1020
重庆,28077.3,1543.40,13967.7,3212
四川,54088.0,3334.86,24133.2,8372
贵州,19458.6,1177.15,8904.3,3852
云南,27161.6,1514.21,10731.8,4690
西藏,2080.2,142.17,810.3,366
陕西,30121.7,2237.04,10250.5,3954
甘肃,10225.5,667.41,4037.1,2490
青海,3385.1,234.73,947.8,594
宁夏,4588.2,300.74,1335.1,725
新疆,16311.6,1093.24,3584.6,2589
